genus	species	scientific_name_new	accession	genome	phenotype	antibiotic	measurement_value	ani	new_genus	recategorized_mic	phenotype_assigned
Staphylococcus	aureus	Staphylococcus aureus	SRR6985636	ENA_SAMN04901606	Resistant	ERY	8	0.998	Staphylococcus	8	Resistant
Staphylococcus	aureus	Staphylococcus aureus	SRR6985706	ENA_SAMN07291560	Resistant	ERY	8	0.992	Staphylococcus	8	Resistant
Staphylococcus	aureus	Staphylococcus aureus	ERR2309535	ENA_SAMEA104602106	Resistant	ERY	8	0.983	Staphylococcus	8	Resistant
Staphylococcus	aureus	Staphylococcus aureus	ERR2309548	ENA_SAMEA104602040	Resistant	ERY	8	0.993	Staphylococcus	8	Resistant
Staphylococcus	aureus	Staphylococcus aureus	ERR2309543	ENA_SAMEA104602114	Resistant	ERY	8	0.982	Staphylococcus	8	Resistant
Staphylococcus	aureus	Staphylococcus aureus	ERR2309600	ENA_SAMEA104602073	Resistant	ERY	8	0.993	Staphylococcus	8	Resistant
Staphylococcus	aureus	Staphylococcus aureus	SRR6985724	ENA_SAMN04901615	Resistant	ERY	8	0.998	Staphylococcus	8	Resistant
Staphylococcus	aureus	Staphylococcus aureus	SRR6985702	ENA_SAMN07291558	Resistant	ERY	8	0.992	Staphylococcus	8	Resistant
Staphylococcus	aureus	Staphylococcus aureus	ERR2309541	ENA_SAMEA104602112	Resistant	ERY	8	0.983	Staphylococcus	8	Resistant
Staphylococcus	aureus	Staphylococcus aureus	SRR6995020	ENA_SAMN07291568	Resistant	ERY	8	0.985	Staphylococcus	8	Resistant
Staphylococcus	aureus	Staphylococcus aureus	SRR6985647	ENA_SAMN04901608	Resistant	ERY	8	0.992	Staphylococcus	8	Resistant
Staphylococcus	aureus	Staphylococcus aureus	ERR2309575	ENA_SAMEA104602053	Resistant	ERY	8	0.993	Staphylococcus	8	Resistant
Staphylococcus	aureus	Staphylococcus aureus	SRR6985643	ENA_SAMN04901610	Resistant	ERY	8	0.992	Staphylococcus	8	Resistant
Staphylococcus	aureus	Staphylococcus aureus	SRR6985639	ENA_SAMN04901609	Resistant	ERY	8	0.992	Staphylococcus	8	Resistant
Staphylococcus	aureus	Staphylococcus aureus	ERR2309611	ENA_SAMEA104602084	Resistant	ERY	8	0.993	Staphylococcus	8	Resistant
Staphylococcus	aureus	Staphylococcus aureus	SRR6985711	ENA_SAMN07291562	Resistant	ERY	8	0.992	Staphylococcus	8	Resistant
Staphylococcus	aureus	Staphylococcus aureus	SRR6985740	ENA_SAMN07291563	Resistant	ERY	8	0.982	Staphylococcus	8	Resistant
Staphylococcus	aureus	Staphylococcus aureus	SRR6985727	ENA_SAMN04901618	Resistant	ERY	8	0.992	Staphylococcus	8	Resistant
Staphylococcus	aureus	Staphylococcus aureus	SRR6985716	ENA_SAMN07291567	Resistant	ERY	8	0.992	Staphylococcus	8	Resistant
Staphylococcus	aureus	Staphylococcus aureus	SRR6985700	ENA_SAMN07291554	Resistant	ERY	8	0.992	Staphylococcus	8	Resistant
Staphylococcus	aureus	Staphylococcus aureus	ERR2309585	ENA_SAMEA104602059	Intermediate	ERY	1	0.993	Staphylococcus	1	Susceptible
Staphylococcus	aureus	Staphylococcus aureus	ERR2309587	ENA_SAMEA104602061	Intermediate	ERY	1	0.992	Staphylococcus	1	Susceptible
Staphylococcus	aureus	Staphylococcus aureus	DRR170693	ENA_SAMD00164374	Intermediate	ERY	4	0.992	Staphylococcus	4	Susceptible
Staphylococcus	aureus	Staphylococcus aureus	ERR2309609	ENA_SAMEA104602082	Intermediate	ERY	1	0.982	Staphylococcus	1	Susceptible
Staphylococcus	aureus	Staphylococcus aureus	ERR2309566	ENA_SAMEA104602045	Intermediate	ERY	1	0.992	Staphylococcus	1	Susceptible
Staphylococcus	aureus	Staphylococcus aureus	ERR2309599	ENA_SAMEA104602072	Intermediate	ERY	1	0.993	Staphylococcus	1	Susceptible
Staphylococcus	aureus	Staphylococcus aureus	ERR2309589	ENA_SAMEA104602063	Intermediate	ERY	1	0.992	Staphylococcus	1	Susceptible
Staphylococcus	aureus	Staphylococcus aureus	ERR2309533	ENA_SAMEA104602104	Intermediate	ERY	1	0.982	Staphylococcus	1	Susceptible
Staphylococcus	aureus	Staphylococcus aureus	ERR2309583	ENA_SAMEA104602057	Intermediate	ERY	1	0.993	Staphylococcus	1	Susceptible
Staphylococcus	aureus	Staphylococcus aureus	ERR2309519	ENA_SAMEA104602091	Intermediate	ERY	1	0.984	Staphylococcus	1	Susceptible
Staphylococcus	aureus	Staphylococcus aureus	DRR170701	ENA_SAMD00164378	Intermediate	ERY	4	0.992	Staphylococcus	4	Susceptible
Staphylococcus	aureus	Staphylococcus aureus	ERR2309539	ENA_SAMEA104602110	Intermediate	ERY	1	0.993	Staphylococcus	1	Susceptible
Staphylococcus	aureus	Staphylococcus aureus	ERR2309532	ENA_SAMEA104602103	Intermediate	ERY	1	0.984	Staphylococcus	1	Susceptible
Staphylococcus	aureus	Staphylococcus aureus	ERR2309580	ENA_SAMEA104602135	Intermediate	ERY	1	0.992	Staphylococcus	1	Susceptible
Staphylococcus	aureus	Staphylococcus aureus	SRR6994983	ENA_SAMN04901611	Intermediate	ERY	1	0.998	Staphylococcus	1	Susceptible
Staphylococcus	aureus	Staphylococcus aureus	DRR170697	ENA_SAMD00164376	Intermediate	ERY	4	0.992	Staphylococcus	4	Susceptible
Staphylococcus	aureus	Staphylococcus aureus	ERR2309517	ENA_SAMEA104602089	Intermediate	ERY	1	0.993	Staphylococcus	1	Susceptible
Staphylococcus	aureus	Staphylococcus aureus	ERR2309540	ENA_SAMEA104602111	Intermediate	ERY	1	0.993	Staphylococcus	1	Susceptible
Staphylococcus	aureus	Staphylococcus aureus	ERR2309607	ENA_SAMEA104602080	Intermediate	ERY	1	0.982	Staphylococcus	1	Susceptible
Staphylococcus	aureus	Staphylococcus aureus	SRR6985715	ENA_SAMN07291566	Intermediate	ERY	1	0.993	Staphylococcus	1	Susceptible
Staphylococcus	aureus	Staphylococcus aureus	ERR2309561	ENA_SAMEA104602131	Intermediate	ERY	1	0.983	Staphylococcus	1	Susceptible
Staphylococcus	aureus	Staphylococcus aureus	ERR2309593	ENA_SAMEA104602137	Intermediate	ERY	1	0.992	Staphylococcus	1	Susceptible
Staphylococcus	aureus	Staphylococcus aureus	ERR2309544	ENA_SAMEA104602115	Intermediate	ERY	1	0.993	Staphylococcus	1	Susceptible
Staphylococcus	aureus	Staphylococcus aureus	ERR2309598	ENA_SAMEA104602071	Intermediate	ERY	1	0.993	Staphylococcus	1	Susceptible
Staphylococcus	aureus	Staphylococcus aureus	ERR2309570	ENA_SAMEA104602048	Intermediate	ERY	1	0.983	Staphylococcus	1	Susceptible
Staphylococcus	aureus	Staphylococcus aureus	ERR2309559	ENA_SAMEA104602129	Intermediate	ERY	1	0.994	Staphylococcus	1	Susceptible
Staphylococcus	aureus	Staphylococcus aureus	ERR2309542	ENA_SAMEA104602113	Intermediate	ERY	1	0.993	Staphylococcus	1	Susceptible
Staphylococcus	aureus	Staphylococcus aureus	ERR2309518	ENA_SAMEA104602090	Intermediate	ERY	1	0.984	Staphylococcus	1	Susceptible
Staphylococcus	aureus	Staphylococcus aureus	ERR2309529	ENA_SAMEA104602039	Intermediate	ERY	1	0.984	Staphylococcus	1	Susceptible
Staphylococcus	aureus	Staphylococcus aureus	ERR2309594	ENA_SAMEA104602067	Intermediate	ERY	1	0.993	Staphylococcus	1	Susceptible
Staphylococcus	aureus	Staphylococcus aureus	ERR2309565	ENA_SAMEA104602044	Intermediate	ERY	1	0.994	Staphylococcus	1	Susceptible
Staphylococcus	aureus	Staphylococcus aureus	ERR2309564	ENA_SAMEA104602043	Intermediate	ERY	1	0.992	Staphylococcus	1	Susceptible
Staphylococcus	aureus	Staphylococcus aureus	ERR2309601	ENA_SAMEA104602074	Intermediate	ERY	1	0.982	Staphylococcus	1	Susceptible
Staphylococcus	aureus	Staphylococcus aureus	ERR2309571	ENA_SAMEA104602049	Intermediate	ERY	1	0.998	Staphylococcus	1	Susceptible
Staphylococcus	aureus	Staphylococcus aureus	SRR8756094	ENA_SAMN09428900	Intermediate	ERY	4	0.995	Staphylococcus	4	Susceptible
Staphylococcus	aureus	Staphylococcus aureus	ERR2309586	ENA_SAMEA104602060	Intermediate	ERY	1	0.982	Staphylococcus	1	Susceptible
Staphylococcus	aureus	Staphylococcus aureus	ERR2309526	ENA_SAMEA104602098	Intermediate	ERY	1	0.992	Staphylococcus	1	Susceptible
Staphylococcus	aureus	Staphylococcus aureus	ERR2309557	ENA_SAMEA104602127	Intermediate	ERY	1	0.992	Staphylococcus	1	Susceptible
Staphylococcus	aureus	Staphylococcus aureus	ERR2309608	ENA_SAMEA104602081	Intermediate	ERY	1	0.993	Staphylococcus	1	Susceptible
Staphylococcus	aureus	Staphylococcus aureus	ERR2309584	ENA_SAMEA104602058	Intermediate	ERY	1	0.993	Staphylococcus	1	Susceptible
Staphylococcus	aureus	Staphylococcus aureus	ERR2309563	ENA_SAMEA104602042	Intermediate	ERY	1	0.999	Staphylococcus	1	Susceptible
Staphylococcus	aureus	Staphylococcus aureus	ERR2309615	ENA_SAMEA104602088	Intermediate	ERY	1	0.999	Staphylococcus	1	Susceptible
Staphylococcus	aureus	Staphylococcus aureus	ERR2309538	ENA_SAMEA104602109	Intermediate	ERY	1	0.993	Staphylococcus	1	Susceptible
Staphylococcus	aureus	Staphylococcus aureus	ERR2309573	ENA_SAMEA104602051	Intermediate	ERY	1	0.994	Staphylococcus	1	Susceptible
Staphylococcus	aureus	Staphylococcus aureus	ERR2309613	ENA_SAMEA104602086	Intermediate	ERY	1	0.982	Staphylococcus	1	Susceptible
Staphylococcus	aureus	Staphylococcus aureus	ERR1069877	ENA_SAMEA3449024	Intermediate	ERY	NA	0.993	Staphylococcus	NA	NA
Staphylococcus	aureus	Staphylococcus aureus	ERR030159	NA	Resistant	ERY	NA	NA	Staphylococcus	NA	NA
Staphylococcus	aureus	Staphylococcus aureus	ERR029367	NA	Resistant	ERY	NA	NA	Staphylococcus	NA	NA
Staphylococcus	aureus	Staphylococcus aureus	ERR030148	NA	Resistant	ERY	NA	NA	Staphylococcus	NA	NA
Staphylococcus	aureus	Staphylococcus aureus	ERR029357	NA	Resistant	ERY	NA	NA	Staphylococcus	NA	NA
Staphylococcus	aureus	Staphylococcus aureus	ERR418320	ENA_SAMEA2339837	Resistant	ERY	NA	0.983	Staphylococcus	NA	NA
Staphylococcus	aureus	Staphylococcus aureus	ERR031665	NA	Resistant	ERY	NA	NA	Staphylococcus	NA	NA
Staphylococcus	aureus	Staphylococcus aureus	ERR418364	ENA_SAMEA2339881	Resistant	ERY	NA	0.983	Staphylococcus	NA	NA
Staphylococcus	aureus	Staphylococcus aureus	ERR030193	NA	Resistant	ERY	NA	NA	Staphylococcus	NA	NA
Staphylococcus	aureus	Staphylococcus aureus	ERR418872	ENA_SAMEA2340389	Resistant	ERY	NA	0.983	Staphylococcus	NA	NA
Staphylococcus	aureus	Staphylococcus aureus	ERR030246	NA	Resistant	ERY	NA	NA	Staphylococcus	NA	NA
Staphylococcus	aureus	Staphylococcus aureus	ERR053018	ENA_SAMEA1021900	Resistant	ERY	NA	0.995	Staphylococcus	NA	NA
Staphylococcus	aureus	Staphylococcus aureus	ERR030214	ENA_SAMEA800355	Resistant	ERY	NA	0.995	Staphylococcus	NA	NA
Staphylococcus	aureus	Staphylococcus aureus	ERR030252	ENA_SAMEA800219	Resistant	ERY	NA	0.995	Staphylococcus	NA	NA
Staphylococcus	aureus	Staphylococcus aureus	ERR418365	NA	Resistant	ERY	NA	NA	Staphylococcus	NA	NA
Staphylococcus	aureus	Staphylococcus aureus	ERR418324	ENA_SAMEA2339841	Resistant	ERY	NA	0.983	Staphylococcus	NA	NA
Staphylococcus	aureus	Staphylococcus aureus	ERR418771	ENA_SAMEA2340288	Resistant	ERY	NA	0.988	Staphylococcus	NA	NA
Staphylococcus	aureus	Staphylococcus aureus	ERR418321	ENA_SAMEA2339838	Resistant	ERY	NA	0.983	Staphylococcus	NA	NA
Staphylococcus	aureus	Staphylococcus aureus	ERR419168	ENA_SAMEA2340685	Resistant	ERY	NA	0.999	Staphylococcus	NA	NA
Staphylococcus	aureus	Staphylococcus aureus	ERR029374	NA	Resistant	ERY	NA	NA	Staphylococcus	NA	NA
Staphylococcus	aureus	Staphylococcus aureus	ERR029464	NA	Resistant	ERY	NA	NA	Staphylococcus	NA	NA
Staphylococcus	aureus	Staphylococcus aureus	ERR030250	NA	Resistant	ERY	NA	NA	Staphylococcus	NA	NA
Staphylococcus	aureus	Staphylococcus aureus	ERR030277	ENA_SAMEA800372	Resistant	ERY	NA	0.995	Staphylococcus	NA	NA
Staphylococcus	aureus	Staphylococcus aureus	ERR030183	NA	Resistant	ERY	NA	NA	Staphylococcus	NA	NA
Staphylococcus	aureus	Staphylococcus aureus	ERR030239	NA	Resistant	ERY	NA	NA	Staphylococcus	NA	NA
Staphylococcus	aureus	Staphylococcus aureus	ERR1069971	ENA_SAMEA3448884	Resistant	ERY	NA	0.986	Staphylococcus	NA	NA
Staphylococcus	aureus	Staphylococcus aureus	ERR030265	NA	Resistant	ERY	NA	NA	Staphylococcus	NA	NA
Staphylococcus	aureus	Staphylococcus aureus	ERR418384	ENA_SAMEA2339901	Resistant	ERY	NA	0.983	Staphylococcus	NA	NA
Staphylococcus	aureus	Staphylococcus aureus	ERR030204	NA	Resistant	ERY	NA	NA	Staphylococcus	NA	NA
Staphylococcus	aureus	Staphylococcus aureus	ERR030202	NA	Resistant	ERY	NA	NA	Staphylococcus	NA	NA
Staphylococcus	aureus	Staphylococcus aureus	ERR418965	ENA_SAMEA2340482	Resistant	ERY	NA	0.982	Staphylococcus	NA	NA
Staphylococcus	aureus	Staphylococcus aureus	ERR029456	NA	Resistant	ERY	NA	NA	Staphylococcus	NA	NA
Staphylococcus	aureus	Staphylococcus aureus	ERR029468	NA	Resistant	ERY	NA	NA	Staphylococcus	NA	NA
Staphylococcus	aureus	Staphylococcus aureus	ERR030150	NA	Resistant	ERY	NA	NA	Staphylococcus	NA	NA
Staphylococcus	aureus	Staphylococcus aureus	ERR030247	NA	Resistant	ERY	NA	NA	Staphylococcus	NA	NA
Staphylococcus	aureus	Staphylococcus aureus	ERR029476	NA	Resistant	ERY	NA	NA	Staphylococcus	NA	NA
Staphylococcus	aureus	Staphylococcus aureus	ERR029359	NA	Resistant	ERY	NA	NA	Staphylococcus	NA	NA
Staphylococcus	aureus	Staphylococcus aureus	ERR419223	ENA_SAMEA2340740	Resistant	ERY	NA	0.986	Staphylococcus	NA	NA
Staphylococcus	aureus	Staphylococcus aureus	ERR418976	ENA_SAMEA2340493	Resistant	ERY	NA	0.988	Staphylococcus	NA	NA
Staphylococcus	aureus	Staphylococcus aureus	ERR418794	ENA_SAMEA2340311	Resistant	ERY	NA	0.982	Staphylococcus	NA	NA
Staphylococcus	aureus	Staphylococcus aureus	ERR418974	ENA_SAMEA2340491	Resistant	ERY	NA	0.988	Staphylococcus	NA	NA
Staphylococcus	aureus	Staphylococcus aureus	ERR418531	ENA_SAMEA2340048	Resistant	ERY	NA	0.984	Staphylococcus	NA	NA
Staphylococcus	aureus	Staphylococcus aureus	ERR419060	ENA_SAMEA2340577	Resistant	ERY	NA	0.983	Staphylococcus	NA	NA
Staphylococcus	aureus	Staphylococcus aureus	ERR030197	NA	Resistant	ERY	NA	NA	Staphylococcus	NA	NA
Staphylococcus	aureus	Staphylococcus aureus	ERR418755	ENA_SAMEA2340272	Resistant	ERY	NA	0.988	Staphylococcus	NA	NA
Staphylococcus	aureus	Staphylococcus aureus	ERR419214	ENA_SAMEA2340731	Resistant	ERY	NA	0.988	Staphylococcus	NA	NA
Staphylococcus	aureus	Staphylococcus aureus	ERR030258	NA	Resistant	ERY	NA	NA	Staphylococcus	NA	NA
Staphylococcus	aureus	Staphylococcus aureus	ERR418799	ENA_SAMEA2340316	Resistant	ERY	NA	0.983	Staphylococcus	NA	NA
Staphylococcus	aureus	Staphylococcus aureus	ERR418804	ENA_SAMEA2340321	Resistant	ERY	NA	0.985	Staphylococcus	NA	NA
Staphylococcus	aureus	Staphylococcus aureus	ERR029360	NA	Resistant	ERY	NA	NA	Staphylococcus	NA	NA
Staphylococcus	aureus	Staphylococcus aureus	ERR030162	NA	Resistant	ERY	NA	NA	Staphylococcus	NA	NA
Staphylococcus	aureus	Staphylococcus aureus	ERR418957	ENA_SAMEA2340474	Resistant	ERY	NA	0.988	Staphylococcus	NA	NA
Staphylococcus	aureus	Staphylococcus aureus	ERR029378	NA	Resistant	ERY	NA	NA	Staphylococcus	NA	NA
Staphylococcus	aureus	Staphylococcus aureus	ERR418662	ENA_SAMEA2340179	Resistant	ERY	NA	0.987	Staphylococcus	NA	NA
Staphylococcus	aureus	Staphylococcus aureus	ERR029350	NA	Resistant	ERY	NA	NA	Staphylococcus	NA	NA
Staphylococcus	aureus	Staphylococcus aureus	ERR418425	ENA_SAMEA2339942	Resistant	ERY	NA	0.988	Staphylococcus	NA	NA
Staphylococcus	aureus	Staphylococcus aureus	ERR030171	NA	Resistant	ERY	NA	NA	Staphylococcus	NA	NA
Staphylococcus	aureus	Staphylococcus aureus	ERR031670	NA	Resistant	ERY	NA	NA	Staphylococcus	NA	NA
Staphylococcus	aureus	Staphylococcus aureus	ERR418946	ENA_SAMEA2340463	Resistant	ERY	NA	0.984	Staphylococcus	NA	NA
Staphylococcus	aureus	Staphylococcus aureus	ERR029353	NA	Resistant	ERY	NA	NA	Staphylococcus	NA	NA
Staphylococcus	aureus	Staphylococcus aureus	ERR029341	NA	Resistant	ERY	NA	NA	Staphylococcus	NA	NA
Staphylococcus	aureus	Staphylococcus aureus	ERR030170	NA	Resistant	ERY	NA	NA	Staphylococcus	NA	NA
Staphylococcus	aureus	Staphylococcus aureus	ERR419097	ENA_SAMEA2340614	Resistant	ERY	NA	0.983	Staphylococcus	NA	NA
Staphylococcus	aureus	Staphylococcus aureus	ERR418753	ENA_SAMEA2340270	Resistant	ERY	NA	0.988	Staphylococcus	NA	NA
Staphylococcus	aureus	Staphylococcus aureus	ERR419107	ENA_SAMEA2340624	Resistant	ERY	NA	0.988	Staphylococcus	NA	NA
Staphylococcus	aureus	Staphylococcus aureus	ERR418372	ENA_SAMEA2339889	Resistant	ERY	NA	0.988	Staphylococcus	NA	NA
Staphylococcus	aureus	Staphylococcus aureus	ERR030268	NA	Resistant	ERY	NA	NA	Staphylococcus	NA	NA
Staphylococcus	aureus	Staphylococcus aureus	ERR418941	ENA_SAMEA2340458	Resistant	ERY	NA	0.984	Staphylococcus	NA	NA
Staphylococcus	aureus	Staphylococcus aureus	ERR030270	NA	Resistant	ERY	NA	NA	Staphylococcus	NA	NA
Staphylococcus	aureus	Staphylococcus aureus	ERR419039	ENA_SAMEA2340556	Resistant	ERY	NA	0.994	Staphylococcus	NA	NA
Staphylococcus	aureus	Staphylococcus aureus	ERR029389	NA	Resistant	ERY	NA	NA	Staphylococcus	NA	NA
Staphylococcus	aureus	Staphylococcus aureus	ERR030276	NA	Resistant	ERY	NA	NA	Staphylococcus	NA	NA
Staphylococcus	aureus	Staphylococcus aureus	ERR419075	ENA_SAMEA2340592	Resistant	ERY	NA	0.993	Staphylococcus	NA	NA
Staphylococcus	aureus	Staphylococcus aureus	ERR419089	ENA_SAMEA2340606	Resistant	ERY	NA	0.988	Staphylococcus	NA	NA
Staphylococcus	aureus	Staphylococcus aureus	ERR418375	ENA_SAMEA2339892	Resistant	ERY	NA	0.983	Staphylococcus	NA	NA
Staphylococcus	aureus	Staphylococcus aureus	ERR029380	NA	Resistant	ERY	NA	NA	Staphylococcus	NA	NA
Staphylococcus	aureus	Staphylococcus aureus	ERR053022	ENA_SAMEA1022012	Resistant	ERY	NA	0.995	Staphylococcus	NA	NA
Staphylococcus	aureus	Staphylococcus aureus	ERR418357	ENA_SAMEA2339874	Resistant	ERY	NA	0.988	Staphylococcus	NA	NA
Staphylococcus	aureus	Staphylococcus aureus	ERR029462	NA	Resistant	ERY	NA	NA	Staphylococcus	NA	NA
Staphylococcus	aureus	Staphylococcus aureus	ERR030234	NA	Resistant	ERY	NA	NA	Staphylococcus	NA	NA
Staphylococcus	aureus	Staphylococcus aureus	ERR418503	ENA_SAMEA2340020	Resistant	ERY	NA	0.988	Staphylococcus	NA	NA
Staphylococcus	aureus	Staphylococcus aureus	ERR030231	NA	Resistant	ERY	NA	NA	Staphylococcus	NA	NA
Staphylococcus	aureus	Staphylococcus aureus	ERR030158	NA	Resistant	ERY	NA	NA	Staphylococcus	NA	NA
Staphylococcus	aureus	Staphylococcus aureus	ERR418332	ENA_SAMEA2339849	Resistant	ERY	NA	0.983	Staphylococcus	NA	NA
Staphylococcus	aureus	Staphylococcus aureus	ERR418336	ENA_SAMEA2339853	Resistant	ERY	NA	0.983	Staphylococcus	NA	NA
Staphylococcus	aureus	Staphylococcus aureus	ERR030244	NA	Resistant	ERY	NA	NA	Staphylococcus	NA	NA
Staphylococcus	aureus	Staphylococcus aureus	ERR029473	NA	Resistant	ERY	NA	NA	Staphylococcus	NA	NA
Staphylococcus	aureus	Staphylococcus aureus	ERR418330	ENA_SAMEA2339847	Resistant	ERY	NA	0.988	Staphylococcus	NA	NA
Staphylococcus	aureus	Staphylococcus aureus	ERR418770	ENA_SAMEA2340287	Resistant	ERY	NA	0.992	Staphylococcus	NA	NA
Staphylococcus	aureus	Staphylococcus aureus	ERR418335	ENA_SAMEA2339852	Resistant	ERY	NA	0.983	Staphylococcus	NA	NA
Staphylococcus	aureus	Staphylococcus aureus	SRR073419	BVBRC_904787.3	Resistant	ERY	NA	0.994	Staphylococcus	NA	NA
Staphylococcus	aureus	Staphylococcus aureus	ERR030242	NA	Resistant	ERY	NA	NA	Staphylococcus	NA	NA
Staphylococcus	aureus	Staphylococcus aureus	ERR030189	NA	Resistant	ERY	NA	NA	Staphylococcus	NA	NA
Staphylococcus	aureus	Staphylococcus aureus	ERR419005	ENA_SAMEA2340522	Resistant	ERY	NA	0.983	Staphylococcus	NA	NA
Staphylococcus	aureus	Staphylococcus aureus	ERR418607	ENA_SAMEA2340124	Resistant	ERY	NA	0.984	Staphylococcus	NA	NA
Staphylococcus	aureus	Staphylococcus aureus	ERR410115	ENA_SAMEA2335150	Resistant	ERY	NA	0.983	Staphylococcus	NA	NA
Staphylococcus	aureus	Staphylococcus aureus	ERR419026	ENA_SAMEA2340543	Resistant	ERY	NA	0.999	Staphylococcus	NA	NA
Staphylococcus	aureus	Staphylococcus aureus	ERR418691	ENA_SAMEA2340208	Resistant	ERY	NA	0.988	Staphylococcus	NA	NA
Staphylococcus	aureus	Staphylococcus aureus	ERR030145	NA	Resistant	ERY	NA	NA	Staphylococcus	NA	NA
Staphylococcus	aureus	Staphylococcus aureus	ERR418351	ENA_SAMEA2339868	Resistant	ERY	NA	0.983	Staphylococcus	NA	NA
Staphylococcus	aureus	Staphylococcus aureus	ERR029345	NA	Resistant	ERY	NA	NA	Staphylococcus	NA	NA
Staphylococcus	aureus	Staphylococcus aureus	ERR053035	ENA_SAMEA1021995	Resistant	ERY	NA	0.995	Staphylococcus	NA	NA
Staphylococcus	aureus	Staphylococcus aureus	ERR418766	NA	Resistant	ERY	NA	NA	Staphylococcus	NA	NA
Staphylococcus	aureus	Staphylococcus aureus	ERR030281	ENA_SAMEA800369	Resistant	ERY	NA	0.995	Staphylococcus	NA	NA
Staphylococcus	aureus	Staphylococcus aureus	ERR418991	ENA_SAMEA2340508	Resistant	ERY	NA	0.994	Staphylococcus	NA	NA
Staphylococcus	aureus	Staphylococcus aureus	ERR029369	NA	Resistant	ERY	NA	NA	Staphylococcus	NA	NA
Staphylococcus	aureus	Staphylococcus aureus	ERR053025	ENA_SAMEA1021934	Resistant	ERY	NA	0.995	Staphylococcus	NA	NA
Staphylococcus	aureus	Staphylococcus aureus	ERR029358	NA	Resistant	ERY	NA	NA	Staphylococcus	NA	NA
Staphylococcus	aureus	Staphylococcus aureus	ERR030172	NA	Resistant	ERY	NA	NA	Staphylococcus	NA	NA
Staphylococcus	aureus	Staphylococcus aureus	ERR030213	ENA_SAMEA800258	Resistant	ERY	NA	0.995	Staphylococcus	NA	NA
Staphylococcus	aureus	Staphylococcus aureus	ERR419071	ENA_SAMEA2340588	Resistant	ERY	NA	0.993	Staphylococcus	NA	NA
Staphylococcus	aureus	Staphylococcus aureus	ERR053039	ENA_SAMEA1022005	Resistant	ERY	NA	0.995	Staphylococcus	NA	NA
Staphylococcus	aureus	Staphylococcus aureus	ERR053031	ENA_SAMEA1021870	Resistant	ERY	NA	0.995	Staphylococcus	NA	NA
Staphylococcus	aureus	Staphylococcus aureus	ERR418367	ENA_SAMEA2339884	Resistant	ERY	NA	0.983	Staphylococcus	NA	NA
Staphylococcus	aureus	Staphylococcus aureus	ERR030181	NA	Resistant	ERY	NA	NA	Staphylococcus	NA	NA
Staphylococcus	aureus	Staphylococcus aureus	ERR029351	NA	Resistant	ERY	NA	NA	Staphylococcus	NA	NA
Staphylococcus	aureus	Staphylococcus aureus	ERR418745	ENA_SAMEA2340262	Resistant	ERY	NA	0.982	Staphylococcus	NA	NA
Staphylococcus	aureus	Staphylococcus aureus	ERR029478	NA	Resistant	ERY	NA	NA	Staphylococcus	NA	NA
Staphylococcus	aureus	Staphylococcus aureus	ERR418409	ENA_SAMEA2339926	Resistant	ERY	NA	0.988	Staphylococcus	NA	NA
Staphylococcus	aureus	Staphylococcus aureus	ERR419052	ENA_SAMEA2340569	Resistant	ERY	NA	0.994	Staphylococcus	NA	NA
Staphylococcus	aureus	Staphylococcus aureus	ERR030251	NA	Resistant	ERY	NA	NA	Staphylococcus	NA	NA
Staphylococcus	aureus	Staphylococcus aureus	ERR030253	NA	Resistant	ERY	NA	NA	Staphylococcus	NA	NA
Staphylococcus	aureus	Staphylococcus aureus	ERR418349	ENA_SAMEA2339866	Resistant	ERY	NA	0.983	Staphylococcus	NA	NA
Staphylococcus	aureus	Staphylococcus aureus	ERR029472	NA	Resistant	ERY	NA	NA	Staphylococcus	NA	NA
Staphylococcus	aureus	Staphylococcus aureus	ERR029388	NA	Resistant	ERY	NA	NA	Staphylococcus	NA	NA
Staphylococcus	aureus	Staphylococcus aureus	ERR030245	NA	Resistant	ERY	NA	NA	Staphylococcus	NA	NA
Staphylococcus	aureus	Staphylococcus aureus	ERR418971	ENA_SAMEA2340488	Resistant	ERY	NA	0.983	Staphylococcus	NA	NA
Staphylococcus	aureus	Staphylococcus aureus	ERR029354	NA	Resistant	ERY	NA	NA	Staphylococcus	NA	NA
Staphylococcus	aureus	Staphylococcus aureus	ERR418376	ENA_SAMEA2339893	Resistant	ERY	NA	0.983	Staphylococcus	NA	NA
Staphylococcus	aureus	Staphylococcus aureus	ERR030186	NA	Resistant	ERY	NA	NA	Staphylococcus	NA	NA
Staphylococcus	aureus	Staphylococcus aureus	ERR418532	ENA_SAMEA2340049	Resistant	ERY	NA	0.984	Staphylococcus	NA	NA
Staphylococcus	aureus	Staphylococcus aureus	ERR418326	ENA_SAMEA2339843	Resistant	ERY	NA	0.988	Staphylococcus	NA	NA
Staphylococcus	aureus	Staphylococcus aureus	ERR418575	ENA_SAMEA2340092	Resistant	ERY	NA	0.993	Staphylococcus	NA	NA
Staphylococcus	aureus	Staphylococcus aureus	ERR029343	NA	Resistant	ERY	NA	NA	Staphylococcus	NA	NA
Staphylococcus	aureus	Staphylococcus aureus	ERR053008	ENA_SAMEA1021972	Resistant	ERY	NA	0.998	Staphylococcus	NA	NA
Staphylococcus	aureus	Staphylococcus aureus	ERR031661	NA	Resistant	ERY	NA	NA	Staphylococcus	NA	NA
